education evocation 0.222222
evocation education 0.222222
1812 1852 0.25
1812 1862 0.25
1851 1852 0.25
1851 1857 0.25
1851 1861 0.25
1852 1812 0.25
1852 1851 0.25
1852 1857 0.25
1852 1862 0.25
1857 1851 0.25
1857 1852 0.25
1860 1861 0.25
1860 1862 0.25
1861 1851 0.25
1861 1860 0.25
1861 1862 0.25
1862 1812 0.25
1862 1852 0.25
1862 1860 0.25
1862 1861 0.25
europe european 0.25
european europe 0.25
his this 0.25
name same 0.25
printing writing 0.25
same name 0.25
the then 0.25
the they 0.25
then the 0.25
then they 0.25
then when 0.25
they the 0.25
they then 0.25
this his 0.25
tolstaya tolstoy 0.25
tolstoy tolstaya 0.25
when then 0.25
writing printing 0.25
experience experiments 0.272727
experiments experience 0.272727
account count 0.285714
account recount 0.285714
brother mother 0.285714
count account 0.285714
count recount 0.285714
marked married 0.285714
married marked 0.285714
mother brother 0.285714
recount account 0.285714
recount count 0.285714
an and 0.333333
an any 0.333333
an can 0.333333
an man 0.333333
and an 0.333333
and any 0.333333
and end 0.333333
any an 0.333333
any and 0.333333
as was 0.333333
can an 0.333333
can man 0.333333
court fourth 0.333333
deaths debts 0.333333
debts deaths 0.333333
education execution 0.333333
end and 0.333333
et met 0.333333
evocation execution 0.333333
execution education 0.333333
execution evocation 0.333333
family vasily 0.333333
father later 0.333333
father mother 0.333333
for or 0.333333
fourth court 0.333333
fourth south 0.333333
fourth youth 0.333333
guerre pierre 0.333333
he her 0.333333
he she 0.333333
he the 0.333333
her he 0.333333
him his 0.333333
his him 0.333333
his is 0.333333
is his 0.333333
is its 0.333333
it its 0.333333
its is 0.333333
its it 0.333333
la law 0.333333
la lax 0.333333
later father 0.333333
later letter 0.333333
law la 0.333333
law lax 0.333333
lax la 0.333333
lax law 0.333333
led les 0.333333
les led 0.333333
letter later 0.333333
letter peter 0.333333
man an 0.333333
man can 0.333333
man men 0.333333
mariya marry 0.333333
marry mariya 0.333333
men man 0.333333
men met 0.333333
met et 0.333333
met men 0.333333
mother father 0.333333
mother others 0.333333
non not 0.333333
non on 0.333333
not non 0.333333
on non 0.333333
on own 0.333333
or for 0.333333
or our 0.333333
others mother 0.333333
our or 0.333333
own on 0.333333
peter letter 0.333333
pierre guerre 0.333333
she he 0.333333
she the 0.333333
sofia sophia 0.333333
sophia sofia 0.333333
south fourth 0.333333
the he 0.333333
the she 0.333333
theory they 0.333333
they theory 0.333333
to two 0.333333
two to 0.333333
vasily family 0.333333
war was 0.333333
was as 0.333333
was war 0.333333
youth fourth 0.333333
educational evocation 0.363636
evocation educational 0.363636
polyana polyana[29] 0.363636
polyana[29] polyana 0.363636
anywhere where 0.375
appalled called 0.375
called appalled 0.375
designed desire 0.375
desire designed 0.375
press princess 0.375
princess press 0.375
printing running 0.375
running printing 0.375
studies studying 0.375
studying studies 0.375
where anywhere 0.375
after later 0.4
after peter 0.4
all shall 0.4
army marry 0.4
been began 0.4
began been 0.4
behrs years 0.4
both south 0.4
both youth 0.4
coherent government 0.4
count young 0.4
court our 0.4
death debts 0.4
death path 0.4
debts death 0.4
died fired 0.4
fired died 0.4
fired first 0.4
fired five 0.4
first fired 0.4
five fired 0.4
government coherent 0.4
her where 0.4
later after 0.4
later peter 0.4
learn years 0.4
march marry 0.4
march much 0.4
marry army 0.4
marry march 0.4
much march 0.4
neill newly 0.4
never novel 0.4
never peter 0.4
newly neill 0.4
novel never 0.4
older under 0.4
our court 0.4
paix paris 0.4
paris paix 0.4
path death 0.4
peter after 0.4
peter later 0.4
peter never 0.4
press rest 0.4
princess principles 0.4
principles princess 0.4
privileged reviewed 0.4
rest press 0.4
reviewed privileged 0.4
saint spent 0.4
same state 0.4
serve were 0.4
shall all 0.4
short show 0.4
show short 0.4
sofia sonya 0.4
sonya sofia 0.4
south both 0.4
south truth 0.4
spent saint 0.4
spent went 0.4
state same 0.4
this trips 0.4
time title 0.4
title time 0.4
trips this 0.4
truth south 0.4
truth youth 0.4
under older 0.4
went spent 0.4
were serve 0.4
when where 0.4
where her 0.4
where when 0.4
which with 0.4
with which 0.4
years behrs 0.4
years learn 0.4
young count 0.4
young youth 0.4
youth both 0.4
youth truth 0.4
youth young 0.4
conversation converted 0.416667
conversation version 0.416667
converted conversation 0.416667
version conversation 0.416667
account around 0.428571
account court 0.428571
around account 0.428571
both brother 0.428571
brother both 0.428571
brother father 0.428571
brother others 0.428571
brother wrote 0.428571
brought through 0.428571
called claimed 0.428571
claimed called 0.428571
concept corrupt 0.428571
corrupt concept 0.428571
corrupt count 0.428571
corrupt court 0.428571
count corrupt 0.428571
courage court 0.428571
court account 0.428571
court corrupt 0.428571
court courage 0.428571
court recount 0.428571
during running 0.428571
example exile 0.428571
exile example 0.428571
father brother 0.428571
founded joined 0.428571
founded under 0.428571
french friends 0.428571
friends french 0.428571
however never 0.428571
joined founded 0.428571
leading learn 0.428571
leading living 0.428571
leading seeking 0.428571
learn leading 0.428571
living leading 0.428571
living writing 0.428571
mariya married 0.428571
married mariya 0.428571
married marry 0.428571
marry married 0.428571
never however 0.428571
others brother 0.428571
paris tsarist 0.428571
period version 0.428571
peter veteran 0.428571
recount court 0.428571
running during 0.428571
saint tsarist 0.428571
secret society 0.428571
seeking leading 0.428571
society secret 0.428571
through brought 0.428571
through truth 0.428571
truth through 0.428571
tsarist paris 0.428571
tsarist saint 0.428571
under founded 0.428571
version period 0.428571
veteran peter 0.428571
writing living 0.428571
wrote brother 0.428571
1854–55 1860–61 0.444444
1860–61 1854–55 0.444444
anarchist tsarist 0.444444
botkin kropotkin 0.444444
childhood children 0.444444
children childhood 0.444444
concept converted 0.444444
converted concept 0.444444
described designed 0.444444
described desire 0.444444
described discussed 0.444444
designed described 0.444444
desire described 0.444444
discussed described 0.444444
discussed witnessed 0.444444
